standard_code,business_domain,control_topic,standard_requirement,current_source_basis,proposed_source_basis,evidence_excerpt,match_score,confidence,review_status
ORG-001,组织架构,治理机构职责与议事规则,公司应明确股东大会、董事会、监事会和经理层的职责权限、任职条件、议事规则和工作程序，确保决策、执行和监督相互分离，形成制衡。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1380,第四条 企业应当根据国家有关法律法规的规定，明确董事会、 监事会和经理层的职责权限、任职条件、议事规则和工作程序，确保决策、执行和监督相互分离，形成制衡。 董事会对股东（大）会负责，依法行使企业的经营决策权。可按照股东（大）会的有关决议，设立战略、审计、提名、薪酬与考核等专门委员会，明确各专门委员会的职责权限、任职资格、议事规则和工作程序，为董事会科学决策提供支持。 监事会对股东（大）会负责，监督企业董事、经理和其他高级管理人员依法履行...,122,high,verified
ORG-002,组织架构,组织职责与权限,公司应制定组织结构图、业务流程图、岗（职）位说明书和权限指引表等文件，明确各部门/岗位的职责分配情况以及各自在不同流程中的权限分配情况。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1384,第八条 企业应当制定组织结构图、业务流程图、岗（职）位说明书和权限指引等内部管理制度或相关文件，使员工了解和掌握组织架构设计及权责分配情况，正确履行职责。,63,medium,verified
ORG-003,组织架构,三重一大集体决策,公司应制定“三重一大”相关制度，明确重大决策、重大事项、重要人事任免及大额资金支付业务等事项的具体内容、标准、权限和程序，确保符合集体决策审批或者联签的要求。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1381,第五条 企业的重大决策、重大事项、重要人事任免及大额资金支付业务等，应当按照规定的权限和程序实行集体决策审批或者联签制度。任何个人不得单独进行决策或者擅自改变集体决策意见。 重大决策、重大事项、重要人事任免及大额资金支付业务的具体标准由企业自行确定。,102,high,verified
ORG-004,组织架构,所属企业管控,公司应针对下属子公司建立科学的投资管控制度，通过合法有效的形式履行出资人职责、维护出资人权益，重点关注子公司特别是异地、境外子公司的发展战略、年度财务预决算、重大投融资、重大担保、大额资金使用、主要资产处置、重要人事任免、内部控制体系建设等重要事项。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1386,第十条 企业拥有子公司的，应当建立科学的投资管控制度，通过合法有效的形式履行出资人职责、维护出资人权益，重点关注子公司特别是异地、境外子公司的发展战略、年度财务预决算、重大投融资、重大担保、大额资金使用、主要资产处置、重要人事任免、内部控制体系建设等重要事项。,257,high,verified
ORG-005,组织架构,治理机构职责与议事规则,董事会应按照议事规则和工作程序依法行使企业的经营决策权。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1380,第四条 企业应当根据国家有关法律法规的规定，明确董事会、 监事会和经理层的职责权限、任职条件、议事规则和工作程序，确保决策、执行和监督相互分离，形成制衡。 董事会对股东（大）会负责，依法行使企业的经营决策权。可按照股东（大）会的有关决议，设立战略、审计、提名、薪酬与考核等专门委员会，明确各专门委员会的职责权限、任职资格、议事规则和工作程序，为董事会科学决策提供支持。 监事会对股东（大）会负责，监督企业董事、经理和其他高级管理人员依法履行...,72,medium,verified
ORG-006,组织架构,治理机构职责与议事规则,监事会应按议事规则和工作程序监督企业董事、高管人员依法履行职责。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1380,第四条 企业应当根据国家有关法律法规的规定，明确董事会、 监事会和经理层的职责权限、任职条件、议事规则和工作程序，确保决策、执行和监督相互分离，形成制衡。 董事会对股东（大）会负责，依法行使企业的经营决策权。可按照股东（大）会的有关决议，设立战略、审计、提名、薪酬与考核等专门委员会，明确各专门委员会的职责权限、任职资格、议事规则和工作程序，为董事会科学决策提供支持。 监事会对股东（大）会负责，监督企业董事、经理和其他高级管理人员依法履行...,70,medium,verified
ORG-007,组织架构,治理机构职责与议事规则,经理层应按议事规则和工作程序，组织实施股东会、董事会决议事项、主持企业的生产经营管理活动。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1380,第四条 企业应当根据国家有关法律法规的规定，明确董事会、 监事会和经理层的职责权限、任职条件、议事规则和工作程序，确保决策、执行和监督相互分离，形成制衡。 董事会对股东（大）会负责，依法行使企业的经营决策权。可按照股东（大）会的有关决议，设立战略、审计、提名、薪酬与考核等专门委员会，明确各专门委员会的职责权限、任职资格、议事规则和工作程序，为董事会科学决策提供支持。 监事会对股东（大）会负责，监督企业董事、经理和其他高级管理人员依法履行...,72,medium,verified
ORG-008,组织架构,三重一大集体决策,决策层应按“三重一大”相关制度履行重大决策、重大事项、重要人事任免及大额资金支付业务等事项的集体决策审批或者联签职责。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1381,第五条 企业的重大决策、重大事项、重要人事任免及大额资金支付业务等，应当按照规定的权限和程序实行集体决策审批或者联签制度。任何个人不得单独进行决策或者擅自改变集体决策意见。 重大决策、重大事项、重要人事任免及大额资金支付业务的具体标准由企业自行确定。,89,high,verified
ORG-009,组织架构,组织架构,发生重组、收购、兼并等项业务时，公司应及时对职能机构、岗位、人员、资产等事务及时作出有效整合安排。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1378,第二条 本指引所称组织架构，是指企业按照国家有关法律法规、股东（大）会决议和企业章程，结合本企业实际，明确股东（大）会、董事会、监事会、经理层和企业内部各层级机构设置、职责权限、人员编制、工作程序和相关要求的制度安排。,25,low,needs_manual_review
ORG-010,组织架构,治理机构职责与议事规则,应在参股企业公司章程、投资协议中切实维护国有股东权益，包括但不限于明确临时股东会召集权、国有股东知情权及监督权、股东利润分配权、董事/监事/高级管理人员委派权，重大交易、对外担保、对外借款、关联交易决议机制，国有股权退出路径安排等。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1316,第十一条企业应当根据国家有关法律法规和企业章程，建立规范的公司治理结构和议事规则，明确决策、执行、监督等方面的职责权限，形成科学有效的职责分工和制衡机制。 股东（大）会享有法律法规和企业章程规定的合法权利，依法行使企业经营方针、筹资、投资、利润分配等重大事项的表决权。 董事会对股东（大）会负责，依法行使企业的经营决策权。 监事会对股东（大）会负责，监督企业董事、经理和其他高级管理人员依法履行职责。 经理层负责组织实施股东（大）会、董事会...,46,low,needs_manual_review
